source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	characteristics[biological replicate]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	material type	factor value[phenotype]	factor value[enrichment process]
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 65	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 66	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 67	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 68	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 69	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 70	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 71	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 8	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 72	8	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3.raw	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 73	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr1.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr1.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 74	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr2.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 75	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr3.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 76	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr4.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr4.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 77	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr5.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr5.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 78	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr6.raw	20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr6.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 79	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT1.raw	20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT1.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 80	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT2.raw	20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 9	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 81	9	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT3.raw	20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 82	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr1.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr1.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 83	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr2.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 84	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr3.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 85	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr4.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr4.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 86	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr5.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr5.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 87	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr6.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr6.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 88	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT1.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT1.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 89	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT2.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT2.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 10	homo sapiens	not applicable	not available	not available	Female	Nocodazole	compound: drug Nocodazole	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 90	10	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT3.raw	20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT3.raw	cell	Nocodazole	enrichment of phosphorylated Protein
sample 11	homo sapiens	not applicable	not available	not available	Female	EGF	compound: drug EGF	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 91	11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr1.raw	20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr1.raw	cell	EGF	enrichment of phosphorylated Protein
sample 11	homo sapiens	not applicable	not available	not available	Female	EGF	compound: drug EGF	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 92	11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr2.raw	20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr2.raw	cell	EGF	enrichment of phosphorylated Protein
sample 11	homo sapiens	not applicable	not available	not available	Female	EGF	compound: drug EGF	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 93	11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr3.raw	20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr3.raw	cell	EGF	enrichment of phosphorylated Protein
sample 11	homo sapiens	not applicable	not available	not available	Female	EGF	compound: drug EGF	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 94	11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr4.raw	20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr4.raw	cell	EGF	enrichment of phosphorylated Protein
sample 11	homo sapiens	not applicable	not available	not available	Female	EGF	compound: drug EGF	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 95	11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr5.raw	20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr5.raw	cell	EGF	enrichment of phosphorylated Protein
